F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,Target
5602.44,830.44,-206.39,155.4,-17610.98,Rest,1756.56,1287.64,-47.26,Very low,22.63,-18753.5,-35.76,2424.2,-65.55,-12348.62,12,9.34,21618.66,-107.9,6,-964.59,17.47,10574.45,1090.92,357.68,5.58,-357.36,570.36,2.92,1347.88,166.24,-110.19,63.56,-319.32,38.34,-42.05
3692.22,1052.24,-217.92,5.22,-20193.62,USA,2246.56,2695.66,-65.96,High,22.86,-30177.12,-88.56,2123.24,-27.3,-5592.18,15,5.64,4925.37,-83.82,9,553.86,19.89,6423.58,584.12,364.46,13.16,-356.24,506.16,6.24,805.26,171.7,-89.94,73.25,-251.67,53.37,396.38
3939.39,853.77,-209.88,2.61,-15247.1,USA,2464.97,1975.96,-60.66,Medium,20.43,-18686.82,-52.89,2185.18,-51.82,-5135.99,15,4.14,10974.9,-95.96,15,-1356.24,14.98,6761.49,1016.5,367.34,9.06,-382.04,948.96,5.97,1127.04,366.06,-31.29,76.42,-167.73,56.94,-13.75
4727.82,754.45,-318.92,39.3,-11792.16,USA,1229.09,2007.94,-39.16,Low,17.87,-19176.78,-43.89,1363.22,-63.71,-5371.37,9,10.88,-837.69,-141.83,12,-809.58,23.09,6635.83,2175.58,378.48,8.1,-470.98,571.41,0.79,-297.04,137.04,-36.66,26.7,-120.3,54.84,3668.71
2649.75,735.06,-264.47,1.32,-24217.7,Rest,2294.62,1639.02,-65.66,Very low,18.32,-24578.12,-62.58,2137.48,-79.73,-5357.69,24,6.1,6958.83,-134.31,9,-217.26,18.97,6536.14,1883.26,345.8,17.46,-334.52,613.5,-0.37,1333.86,214.12,-150.15,101.78,-317.4,68.01,-151.98
5373.96,1293.36,-278.5,1.05,-15633.98,USA,1860.6,1949.48,-60.94,Very high,19.53,-19950.26,-61.38,1311.76,-28.13,-4595.59,15,14.08,9669.15,-198.34,18,-900.72,18.7,10648.55,949.92,376.86,-3.02,-266.08,554.31,3.57,1021.24,205.38,-106.29,103.62,-235.47,54.39,72.89
6008.91,686.41,-148.83,255.96,-23751.78,USA,2043.25,1124.82,-47.88,Very low,24.14,-19348.3,-66.63,923.06,-47.3,-7586.2,12,6.16,-12669.12,-140.67,15,211.38,13.22,6654.29,232.3,263.6,16.72,-313.02,607.41,6.31,377.64,133.2,-113.4,62.43,-321.24,56.67,200.4
3202.92,983.12,-263.05,0.12,-18790.04,UK,2642.02,2574.96,-45.98,High,17.59,-23274.46,-60.99,1888.86,-139.67,-3183.58,15,22.9,-1860.69,-140.58,9,-212.88,17.83,348.2,917.08,427.66,4.74,-283.22,530.28,3.61,200.5,133.1,-129.18,67.86,-331.2,53.19,1550.61
4010.01,760.5,-235.32,0.78,-14320.92,USA,2139.19,1865.1,-69.16,High,19.02,-29006.6,-71.43,2141.7,-56.56,-7880.11,9,7.68,-12255.84,-108.68,15,764.52,19.32,4626.57,2479.06,264.18,0.46,-376.2,634.41,3.83,111.6,178.5,-198.87,74.34,-250.29,47.19,3319.75
4094.46,184.13,-271.96,0.09,-11350.12,Rest,2704.87,1358.72,-51.5,Very high,24.74,-21379.22,-51.3,1257.08,-47.54,-8282.83,15,6.6,-13559.91,-141.76,12,-626.76,21.69,4995.01,1652.58,394.54,7.62,-229.5,627.21,0.03,434.58,295.48,-146.07,79.47,-113.61,57.27,2.18
